b_adrianopolis_adj_dacian;Odryssoi;;;;;;;;;;;;;x
b_adrianopolis_adj_thracian;Odryssoi;;;;;;;;;;;;;x
b_aetos_bulgaria_adj_dacian;Aytoi;;;;;;;;;;;;;x
b_aetos_bulgaria_adj_thracian;Aytoi;;;;;;;;;;;;;x
b_archar_adj_dacian;Ratiarian;;;;;;;;;;;;;x # Anglicised
b_archar_adj_thracian;Ratiarian;;;;;;;;;;;;;x # Anglicised
b_arkadiopolis_adj_dacian;Bergulan;;;;;;;;;;;;;x # Anglicised
b_arkadiopolis_adj_thracian;Bergulan;;;;;;;;;;;;;x # Anglicised
b_beroe_adj_dacian;Beroean;;;;;;;;;;;;;x
b_beroe_adj_thracian;Beroean;;;;;;;;;;;;;x
b_chilia_adj_dacian;Achilloi;;;;;;;;;;;;;x
b_chilia_adj_thracian;Achilloi;;;;;;;;;;;;;x
b_constantia_adj_dacian;Tomisoi;;;;;;;;;;;;;x
b_constantia_adj_thracian;Tomisoi;;;;;;;;;;;;;x
b_constantinople_adj_thracian;Byzantine;;;;;;;;;;;;;x # Anglicised
b_debelt_adj_dacian;Debeltoi;;;;;;;;;;;;;x
b_debelt_adj_thracian;Debeltoi;;;;;;;;;;;;;x
b_harsova_adj_dacian;Carsian;;;;;;;;;;;;;x # Anglicised
b_harsova_adj_thracian;Carsian;;;;;;;;;;;;;x # Anglicised
b_kaliakra_adj_dacian;Tirizian;;;;;;;;;;;;;x # Anglicised
b_kaliakra_adj_thracian;Tirizian;;;;;;;;;;;;;x # Anglicised
b_kalisz_adj_dacian;Setidavan;;;;;;;;;;;;;x # Anglicised
b_kalisz_adj_thracian;Setidavan;;;;;;;;;;;;;x # Anglicised
b_karvuna_adj_dacian;Dionysoi;;;;;;;;;;;;;x
b_karvuna_adj_thracian;Dionysoi;;;;;;;;;;;;;x
b_kran_adj_dacian;Seuthoi;;;;;;;;;;;;;x
b_kran_adj_thracian;Seuthoi;;;;;;;;;;;;;x
b_lovech_adj_dacian;Metlan;;;;;;;;;;;;;x # Anglicised
b_lovech_adj_thracian;Metlan;;;;;;;;;;;;;x # Anglicised
b_mangalia_adj_dacian;Kallatoi;;;;;;;;;;;;;x
b_mangalia_adj_thracian;Kallatoi;;;;;;;;;;;;;x
b_mesembria_adj_dacian;Menebroi;;;;;;;;;;;;;x
b_mesembria_adj_thracian;Menebroi;;;;;;;;;;;;;x
b_pernik_adj_dacian;Adevan;;;;;;;;;;;;;x # Anglicised
b_pernik_adj_thracian;Adevan;;;;;;;;;;;;;x # Anglicised
b_pirot_adj_dacian;Aiadavan;;;;;;;;;;;;;x # Anglicised
b_pirot_adj_thracian;Aiadavan;;;;;;;;;;;;;x # Anglicised
b_pomorie_adj_dacian;Anchialoi;;;;;;;;;;;;;x
b_pomorie_adj_thracian;Anchialoi;;;;;;;;;;;;;x
b_serdica_adj_dacian;Serdican;;;;;;;;;;;;;x # Anglicised
b_serdica_adj_thracian;Serdican;;;;;;;;;;;;;x # Anglicised
b_silistra_adj_dacian;Silistran;;;;;;;;;;;;;x # Anglicised
b_silistra_adj_thracian;Silistran;;;;;;;;;;;;;x # Anglicised
b_sozopol_adj_dacian;Apollonian;;;;;;;;;;;;;x # Anglicised
b_sozopol_adj_thracian;Apollonian;;;;;;;;;;;;;x # Anglicised
b_steinmahos_adj_dacian;Stenímachoi;;;;;;;;;;;;;x
b_steinmahos_adj_thracian;Stenímachoi;;;;;;;;;;;;;x
b_tarnovo_adj_dacian;Zikidevan;;;;;;;;;;;;;x # Anglicised
b_tarnovo_adj_thracian;Zikidevan;;;;;;;;;;;;;x # Anglicised
b_tulcea_adj_dacian;Aegyssoi;;;;;;;;;;;;;x
b_tulcea_adj_thracian;Aegyssoi;;;;;;;;;;;;;x
b_varna_adj_dacian;Odessoi;;;;;;;;;;;;;x
b_varna_adj_thracian;Odessoi;;;;;;;;;;;;;x
b_vidin_adj_dacian;Dunonian;;;;;;;;;;;;;x # Anglicised
b_vidin_adj_thracian;Dunonian;;;;;;;;;;;;;x # Anglicised
b_yambol_adj_dacian;Kabyloi;;;;;;;;;;;;;x
b_yambol_adj_thracian;Kabyloi;;;;;;;;;;;;;x
c_byzantion_adj_thracian;Byzantine;;;;;;;;;;;;;x # Anglicised
c_constantia_adj_dacian;Tomisoi;;;;;;;;;;;;;x
c_constantia_adj_thracian;Tomisoi;;;;;;;;;;;;;x
c_dorostotum_adj_dacian;Silistran;;;;;;;;;;;;;x # Anglicised
c_dorostotum_adj_thracian;Silistran;;;;;;;;;;;;;x # Anglicised
c_kaliskie_adj_dacian;Setidavan;;;;;;;;;;;;;x # Anglicised
c_kaliskie_adj_thracian;Setidavan;;;;;;;;;;;;;x # Anglicised
c_karvuna_adj_dacian;Dionysoi;;;;;;;;;;;;;x
c_karvuna_adj_thracian;Dionysoi;;;;;;;;;;;;;x
c_mesembria_adj_dacian;Menebroi;;;;;;;;;;;;;x
c_mesembria_adj_thracian;Menebroi;;;;;;;;;;;;;x
c_nikopolis_adj_dacian;Seuthoi;;;;;;;;;;;;;x
c_nikopolis_adj_thracian;Seuthoi;;;;;;;;;;;;;x
c_philippopolis_adj_dacian;Pulpudevan;;;;;;;;;;;;;x # Anglicised
c_philippopolis_adj_thracian;Pulpudevan;;;;;;;;;;;;;x # Anglicised
c_serdica_adj_dacian;Serdican;;;;;;;;;;;;;x # Anglicised
c_serdica_adj_thracian;Serdican;;;;;;;;;;;;;x # Anglicised
c_terebovl_adj_dacian;Petridavan;;;;;;;;;;;;;x # Anglicised
c_terebovl_adj_thracian;Petridavan;;;;;;;;;;;;;x # Anglicised
c_tyrnovo_adj_dacian;Zikidevan;;;;;;;;;;;;;x # Anglicised
c_tyrnovo_adj_thracian;Zikidevan;;;;;;;;;;;;;x # Anglicised
c_vidin_adj_dacian;Dunonian;;;;;;;;;;;;;x # Anglicised
c_vidin_adj_thracian;Dunonian;;;;;;;;;;;;;x # Anglicised
d_adrianopolis_adj_dacian;Odryssoi;;;;;;;;;;;;;x
d_adrianopolis_adj_thracian;Odryssoi;;;;;;;;;;;;;x
d_karvuna_adj_dacian;Krobyzoi;;;;;;;;;;;;;x
d_karvuna_adj_thracian;Krobyzoi;;;;;;;;;;;;;x
d_turnovo_adj_dacian;Moisi;;;;;;;;;;;;;x
d_turnovo_adj_thracian;Moisi;;;;;;;;;;;;;x
d_vidin_adj_dacian;Dunonian;;;;;;;;;;;;;x # Anglicised
d_vidin_adj_thracian;Dunonian;;;;;;;;;;;;;x # Anglicised

